campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHCIAPRO;int;TRUE
ZCHAPOLIC;string;TRUE
ZDTDATCAE;int;TRUE
ZCHITECAE;string;TRUE
ZCHTPMOVI;string;TRUE
ZDTMOVIME;int;TRUE
ZCHCBSEGU;string;TRUE
RECORDMODE;string;FALSE
ZCHCOBSEG;string;FALSE
ZCHSINIST;string;FALSE
ZHCINDMOV;string;FALSE
ZCHINDTER;int;FALSE
ZCHDSTERC;string;FALSE
ZCHFRMPAG;int;FALSE
ZCHLLOYDS;string;FALSE
ZCHADITAM;string;FALSE
ZCHFXCONT;int;FALSE
ZCHENDCT;int;FALSE
ZCHNCERT;string;FALSE
ZCHENDCER;string;FALSE
ZCHTPSINI;int;FALSE
ZCHEVMVSI;int;FALSE
ZCHTPEVSI;int;FALSE
TAXNUMBER;string;FALSE
BP_TAXCAT;string;FALSE
ZCHBPNAME;string;FALSE
ZCHBKNUM;string;FALSE
ZCHCODRES;string;FALSE
ZCHCONRES;string;FALSE
ZKFVSINIS;double;FALSE
AMOUNT;double;FALSE
CURRENCY;string;FALSE
ZCHOBJSE1;string;FALSE
ZCHNOMCOB;string;FALSE
ZCHTPREGI;string;FALSE
ZCHCOBERT;int;FALSE
ZCHCDCBIN;string;FALSE
ZCHORISRO;string;FALSE
COMP_CODE;string;FALSE
ZCHNRSEQ;int;FALSE
ZKFVLMOV;double;FALSE
ZKFVLMRE;double;FALSE
ZCHSISOR;string;FALSE
