campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHCIAPRO;int;TRUE
ZCHAPOLIC;string;TRUE
ZDTDATCAE;int;TRUE
ZCHITECAE;string;TRUE
ZCHTPMOVI;string;TRUE
ZDTMOVIME;int;TRUE
RECORDMODE;string;FALSE
ZCHCDCBIN;string;FALSE
ZCHNOMCOB;string;FALSE
ZCHSINIST;string;FALSE
ZCHCNTCED;string;FALSE
ZCHSITSIN;int;FALSE
ZDTOCOSIN;int;FALSE
ZDTAVISO;int;FALSE
ZDTREGIST;int;FALSE
ZDTENTDOC;int;FALSE
ZCHTPENSI;int;FALSE
ZCHDSENS1;string;FALSE
ZCHDSENS2;string;FALSE
ZCHTPREGI;string;FALSE
ZCHNRSEQ;int;FALSE
ZCHORISRO;string;FALSE
COMP_CODE;string;FALSE
