campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHNRSEQ;int;TRUE
COMP_CODE;string;TRUE
ZDTMOVIME;int;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
SEGMENT;string;TRUE
ZCHCOSRES;string;TRUE
ZCHCMPID;string;TRUE
RECORDMODE;string;FALSE
CALMONTH;int;FALSE
CLEAR_DATE;int;FALSE
ZCHTPPAGT;int;FALSE
ZCHNOMPAR;string;FALSE
ZCHPROCSU;string;FALSE
ZCHPROPOS;string;FALSE
ZCHTPPROD;string;FALSE
ZCHTPPLAN;string;FALSE
ZCHCPFPAR;string;FALSE
ZCHUFPART;string;FALSE
ZCHCNPJCS;string;FALSE
PYORD;string;FALSE
ZCHDGREF;string;FALSE
ZCHORIGEM;string;FALSE
CURRENCY;string;FALSE
FC_OPBEL;string;FALSE
BPARTNER;string;FALSE
ZCHPRODVP;string;FALSE
ZCHTPMOVI;string;FALSE
ZCHCODPRD;int;FALSE
EMAIL_ADDR;string;FALSE
TEL_NUMBER;string;FALSE
COUNTRY;string;FALSE
REGION;string;FALSE
CITY_1;string;FALSE
POSTALCODE;string;FALSE
CITY_2;string;FALSE
HOUSE_NUM2;string;FALSE
HOUSE_NUM1;string;FALSE
STREET60;string;FALSE
NAME_ORG1;string;FALSE
BP_LSTNAME;string;FALSE
BP_FSTNAME;string;FALSE
TITLE_SPPL;string;FALSE
BP_ID_TYPE;string;FALSE
BP_EXTERN;string;FALSE
TAXNUMBER;string;FALSE
BP_TAXCAT;string;FALSE
BP_TYPE;string;FALSE
BP_CAT;string;FALSE
ZKFPREPUR;double;FALSE
ZKFCARREG;double;FALSE
ZKFPERCAR;double;FALSE
ZKFVLRCON;double;FALSE
ZKFVLRCAR;double;FALSE
