campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHCOMREG;int;TRUE
ZCHCHACAE;string;TRUE
ZCHTPMOVI;string;TRUE
ZDTMOVIME;int;TRUE
ZCHITECAE;string;TRUE
RECORDMODE;string;FALSE
ZCHCHAVE;string;FALSE
COMP_CODE;string;FALSE
ZCHSUCURS;string;FALSE
ZCHRAMO;string;FALSE
ZCHCIAPRO;int;FALSE
ZCHAPOLIC;string;FALSE
ZDTDATCAE;int;FALSE
ZCHCOBSIN;string;FALSE
ZCHNOMCOB;string;FALSE
ZCHCDCBIN;string;FALSE
ZCHGRPRAM;string;FALSE
ZCHCODRAM;string;FALSE
ZCHEVMVSI;int;FALSE
ZCHTPEVSI;int;FALSE
ZKFVSINIS;double;TRUE
ZCHSITSIN;int;TRUE
ZDTOCOSIN;int;TRUE
ZDTAVISO;int;TRUE
ZDTREGIST;int;TRUE
ZCHUFRISC;string;FALSE
TAXNUMBER;string;FALSE
ZCHTPOPBA;string;FALSE
ZCHBPNAME;string;FALSE
ZCHBKNUM;string;FALSE
BP_TAXCAT;string;FALSE
ZCHTPSINI;int;FALSE
ZCHPROCJD;string;FALSE
ZDTENTDOC;int;TRUE
ZCHTPENSI;int;FALSE
ZCHDSENS1;string;FALSE
ZCHDSENS2;string;FALSE
ZCHDSRES1;string;FALSE
ZCHDSRES2;string;FALSE
ZCHCODCOS;int;FALSE
ZCHCODRES;string;FALSE
ZCHCONRES;string;FALSE
ZCHTPADSI;int;FALSE
AMOUNT;double;FALSE
CURRENCY;string;TRUE
ZCHSINIST;string;TRUE
ZCHSININT;string;FALSE
ZCHENDOSS;string;FALSE
ZKFVLRMOV;double;TRUE
ZCHAPOLRO;string;FALSE
ZCHDDOEVN;string;FALSE
ZCHTPDANO;int;FALSE
ZCHDESTPD;string;FALSE
ZCHORISRO;string;FALSE
