campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
COMP_CODE;string;TRUE
ZCHAPOLIC;string;TRUE
ZDTDATCAE;int;TRUE
ZCHITECAE;string;TRUE
ZCHTPMOVI;string;TRUE
ZDTMOVIME;int;TRUE
ZCHSQVIST;int;TRUE
RECORDMODE;string;FALSE
ZCHDTVIST;int;FALSE
ZCHENDVST;string;FALSE
ZCHNUENVS;string;FALSE
ZCHCOEVST;string;FALSE
ZCHBAIVST;string;FALSE
ZCHMUNVST;string;FALSE
ZCHUFVIST;string;FALSE
ZCHCPVIST;string;FALSE
ZCHPAISVT;int;FALSE
ZCHTDVIST;int;FALSE
ZCHCPFVST;string;FALSE
ZCHNMVIST;string;FALSE
ZCHORISRO;string;FALSE
