campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHCIAPRO;int;TRUE
ZCHAPOLIC;string;TRUE
ZDTDATCAE;int;TRUE
ZCHITECAE;string;TRUE
ZCHTPMOVI;string;TRUE
ZDTMOVIME;int;TRUE
RECORDMODE;string;FALSE
ZCHLCOCOR;string;FALSE
ZCHCPVIST;string;FALSE
ZCHENDSEG;string;FALSE
ZCHNUMLOG;string;FALSE
ZCHCOMPLE;string;FALSE
ZCHENBAIR;string;FALSE
ZCHMUNICI;string;FALSE
ZCHUF;string;FALSE
ZCHPAISVT;int;FALSE
ZCHDSRES1;string;FALSE
ZCHDSRES2;string;FALSE
ZCHORISRO;string;FALSE
